iter	Passed	Remaining
0	1	172
1	3	152
2	4	154
3	6	148
4	7	145
5	9	141
6	10	138
7	11	136
8	13	133
9	14	130
10	15	128
11	17	125
12	18	123
13	19	121
14	20	118
15	22	117
16	24	117
17	25	117
18	27	116
19	29	116
20	30	116
21	32	114
22	34	113
23	35	112
24	36	110
25	38	109
26	40	108
27	41	106
28	42	105
29	44	103
30	45	101
31	47	100
32	48	99
33	50	98
34	52	97
35	53	95
36	55	94
37	57	93
38	58	91
39	60	91
40	62	89
41	63	87
42	65	86
43	66	84
44	68	83
45	69	81
46	71	80
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	78	69
53	80	68
54	81	66
55	82	65
56	84	63
57	85	62
58	87	60
59	88	59
60	90	57
61	91	56
62	93	54
63	94	53
64	95	51
65	97	50
66	98	48
67	100	47
68	101	45
69	103	44
70	105	42
71	106	41
72	108	40
73	109	38
74	111	37
75	112	35
76	114	34
77	115	32
78	117	31
79	119	29
80	121	28
81	123	27
82	124	25
83	126	24
84	128	22
85	129	21
86	131	19
87	132	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	147	3
98	149	1
99	151	0
